Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:35:51 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 640.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
4.00800000E+02, -9.82155023E+01
4.01600000E+02, -9.14223407E+01
4.02400000E+02, -9.11790634E+01
4.03200000E+02, -9.68020274E+01
4.04000000E+02, -1.18469872E+02
4.04800000E+02, -1.25966506E+02
4.05600000E+02, -1.05218780E+02
4.06400000E+02, -9.97520431E+01
4.07200000E+02, -9.61285787E+01
4.08000000E+02, -9.73289998E+01
4.08800000E+02, -1.04346572E+02
4.09600000E+02, -9.46244673E+01
4.10400000E+02, -9.70392719E+01
4.11200000E+02, -9.18857269E+01
4.12000000E+02, -9.71342259E+01
4.12800000E+02, -1.06701019E+02
4.13600000E+02, -9.96520092E+01
4.14400000E+02, -9.98520837E+01
4.15200000E+02, -1.05239382E+02
4.16000000E+02, -1.04594967E+02
4.16800000E+02, -1.01249870E+02
4.17600000E+02, -9.78461745E+01
4.18400000E+02, -9.57939554E+01
4.19200000E+02, -9.48989721E+01
4.20000000E+02, -9.46655096E+01
4.20800000E+02, -9.55998865E+01
4.21600000E+02, -9.86130558E+01
4.22400000E+02, -9.86908567E+01
4.23200000E+02, -9.87623710E+01
4.24000000E+02, -9.71805144E+01
4.24800000E+02, -9.68861691E+01
4.25600000E+02, -1.00105358E+02
4.26400000E+02, -9.85479535E+01
4.27200000E+02, -9.45253462E+01
4.28000000E+02, -9.82800287E+01
4.28800000E+02, -1.11212115E+02
4.29600000E+02, -1.04688429E+02
4.30400000E+02, -1.16928435E+02
4.31200000E+02, -1.18180939E+02
4.32000000E+02, -1.05877380E+02
4.32800000E+02, -1.05922027E+02
4.33600000E+02, -1.07310066E+02
4.34400000E+02, -1.04472855E+02
4.35200000E+02, -1.01525609E+02
4.36000000E+02, -1.13384598E+02
4.36800000E+02, -1.01331513E+02
4.37600000E+02, -1.02358228E+02
4.38400000E+02, -1.04130386E+02
4.39200000E+02, -1.04202102E+02
4.40000000E+02, -1.08659670E+02
4.40800000E+02, -1.03203843E+02
4.41600000E+02, -9.83265779E+01
4.42400000E+02, -9.60936974E+01
4.43200000E+02, -9.95706690E+01
4.44000000E+02, -1.05669960E+02
4.44800000E+02, -1.07749665E+02
4.45600000E+02, -9.55790116E+01
4.46400000E+02, -9.49480362E+01
4.47200000E+02, -9.97169373E+01
4.48000000E+02, -1.10071864E+02
4.48800000E+02, -9.71172076E+01
4.49600000E+02, -9.48893973E+01
4.50400000E+02, -1.02139335E+02
4.51200000E+02, -1.09319954E+02
4.52000000E+02, -1.08381894E+02
4.52800000E+02, -1.02561248E+02
4.53600000E+02, -9.87219315E+01
4.54400000E+02, -9.41947922E+01
4.55200000E+02, -9.98366382E+01
4.56000000E+02, -1.12493024E+02
4.56800000E+02, -1.07253092E+02
4.57600000E+02, -1.11099267E+02
4.58400000E+02, -1.01750700E+02
4.59200000E+02, -1.25124056E+02
4.60000000E+02, -1.02136458E+02
4.60800000E+02, -1.04064802E+02
