Label:, CH2: Time
DateTime:, Wed Jan  1 00:41:33 2003
DataKind:, CH2, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 2000.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
7.46093750E-02, -2.08093572E+00
7.48046875E-02, -2.08587742E+00
7.50000000E-02, -2.09044623E+00
7.51953125E-02, -2.12658262E+00
7.53906250E-02, -2.11778069E+00
7.55859375E-02, -2.14105082E+00
7.57812500E-02, -2.15937018E+00
7.59765625E-02, -2.15293002E+00
7.61718750E-02, -2.18517470E+00
7.63671875E-02, -2.18454576E+00
7.65625000E-02, -2.19217300E+00
7.67578125E-02, -2.21676922E+00
7.69531250E-02, -2.20812297E+00
7.71484375E-02, -2.22965264E+00
7.73437500E-02, -2.23815751E+00
7.75390625E-02, -2.23509550E+00
7.77343750E-02, -2.25843835E+00
7.79296875E-02, -2.25411868E+00
7.81250000E-02, -2.26347899E+00
7.83203125E-02, -2.27718949E+00
7.85156250E-02, -2.27043223E+00
7.87109375E-02, -2.28696823E+00
7.89062500E-02, -2.28846264E+00
7.91015625E-02, -2.28877544E+00
7.92968750E-02, -2.30172634E+00
7.94921875E-02, -2.29545903E+00
7.96875000E-02, -2.30296707E+00
7.98828125E-02, -2.30739808E+00
8.00781250E-02, -2.30295324E+00
8.02734375E-02, -2.31120467E+00
8.04687500E-02, -2.30837321E+00
8.06640625E-02, -2.30845881E+00
8.08593750E-02, -2.31185484E+00
8.10546875E-02, -2.30755019E+00
8.12500000E-02, -2.30878186E+00
8.14453125E-02, -2.30712366E+00
8.16406250E-02, -2.30407357E+00
8.18359375E-02, -2.30256414E+00
8.20312500E-02, -2.29947948E+00
8.22265625E-02, -2.29585958E+00
8.24218750E-02, -2.29170179E+00
8.26171875E-02, -2.28895235E+00
8.28125000E-02, -2.28150702E+00
8.30078125E-02, -2.27771425E+00
8.32031250E-02, -2.27292538E+00
8.33984375E-02, -2.26265407E+00
8.35937500E-02, -2.26135445E+00
8.37890625E-02, -2.25033879E+00
8.39843750E-02, -2.24109435E+00
8.41796875E-02, -2.23853207E+00
8.43750000E-02, -2.22181129E+00
8.45703125E-02, -2.21869087E+00
8.47656250E-02, -2.20880103E+00
8.49609375E-02, -2.19242215E+00
8.51562500E-02, -2.19253635E+00
8.53515625E-02, -2.17130899E+00
8.55468750E-02, -2.16259098E+00
8.57421875E-02, -2.15732241E+00
8.59375000E-02, -2.13154483E+00
8.61328125E-02, -2.13174796E+00
8.63281250E-02, -2.11226225E+00
8.65234375E-02, -2.09297323E+00
8.67187500E-02, -2.09323525E+00
8.69140625E-02, -2.06192565E+00
8.71093750E-02, -2.05655003E+00
8.73046875E-02, -2.04316092E+00
8.75000000E-02, -2.01191449E+00
8.76953125E-02, -2.01540041E+00
8.78906250E-02, -1.98414505E+00
8.80859375E-02, -1.96767795E+00
8.82812500E-02, -1.96370995E+00
8.84765625E-02, -1.92321658E+00
8.86718750E-02, -1.92372704E+00
8.88671875E-02, -1.89876235E+00
8.90625000E-02, -1.86762011E+00
8.92578125E-02, -1.87120485E+00
8.94531250E-02, -1.82736981E+00
8.96484375E-02, -1.81840014E+00
8.98437500E-02, -1.80510890E+00
9.00390625E-02, -1.76050568E+00
9.02343750E-02, -1.76595390E+00
9.04296875E-02, -1.72621691E+00
9.06250000E-02, -1.70207357E+00
9.08203125E-02, -1.70072103E+00
9.10156250E-02, -1.64752710E+00
9.12109375E-02, -1.64755237E+00
9.14062500E-02, -1.61898220E+00
9.16015625E-02, -1.57730150E+00
9.17968750E-02, -1.58445525E+00
9.19921875E-02, -1.53091848E+00
9.21875000E-02, -1.51744866E+00
9.23828125E-02, -1.50399482E+00
9.25781250E-02, -1.44775498E+00
9.27734375E-02, -1.45593750E+00
9.29687500E-02, -1.41080046E+00
9.31640625E-02, -1.37872207E+00
9.33593750E-02, -1.38040352E+00
9.35546875E-02, -1.31686008E+00
9.37500000E-02, -1.31597936E+00
9.39453125E-02, -1.28735995E+00
9.41406250E-02, -1.23522615E+00
9.43359375E-02, -1.24481988E+00
9.45312500E-02, -1.18460047E+00
9.47265625E-02, -1.16525340E+00
9.49218750E-02, -1.15633273E+00
9.51171875E-02, -1.09015286E+00
9.53125000E-02, -1.09730339E+00
9.55078125E-02, -1.05153513E+00
9.57031250E-02, -1.00961471E+00
9.58984375E-02, -1.01504374E+00
9.60937500E-02, -9.44481254E-01
9.62890625E-02, -9.39348519E-01
9.64843750E-02, -9.14475560E-01
9.66796875E-02, -8.50882411E-01
9.68750000E-02, -8.62934172E-01
9.70703125E-02, -8.00634682E-01
9.72656250E-02, -7.70904839E-01
9.74609375E-02, -7.67198682E-01
9.76562500E-02, -6.93173885E-01
9.78515625E-02, -7.00800180E-01
9.80468750E-02, -6.59567475E-01
9.82421875E-02, -6.01716638E-01
9.84375000E-02, -6.08782768E-01
9.86328125E-02, -5.37470937E-01
9.88281250E-02, -5.26217401E-01
9.90234375E-02, -5.05747676E-01
9.92187500E-02, -4.32488263E-01
9.94140625E-02, -4.42478925E-01
9.96093750E-02, -3.79936010E-01
9.98046875E-02, -3.48165900E-01
1.00000000E-01, -3.45775068E-01
1.00195312E-01, -2.65570760E-01
1.00390625E-01, -2.73826361E-01
1.00585937E-01, -2.27772459E-01
1.00781250E-01, -1.74155563E-01
1.00976562E-01, -1.87060997E-01
1.01171875E-01, -1.07359819E-01
1.01367187E-01, -9.75683331E-02
1.01562500E-01, -7.57182389E-02
1.01757812E-01, -2.38304702E-03
1.01953125E-01, -1.78590417E-02
1.02148437E-01, 4.61065881E-02
1.02343750E-01, 8.29603299E-02
1.02539062E-01, 8.09641927E-02
1.02734375E-01, 1.62243828E-01
1.02929687E-01, 1.61891803E-01
1.03125000E-01, 2.01215670E-01
1.03320312E-01, 2.60151774E-01
1.03515625E-01, 2.47662336E-01
1.03710937E-01, 3.23727816E-01
1.03906250E-01, 3.39059412E-01
1.04101562E-01, 3.54887813E-01
1.04296875E-01, 4.31560159E-01
1.04492187E-01, 4.16391224E-01
1.04687500E-01, 4.76987928E-01
1.04882812E-01, 5.17387807E-01
1.05078125E-01, 5.12136996E-01
1.05273437E-01, 5.93181252E-01
1.05468750E-01, 5.89377522E-01
1.05664062E-01, 6.23308241E-01
1.05859375E-01, 6.87516689E-01
1.06054687E-01, 6.71659052E-01
1.06250000E-01, 7.41924942E-01
1.06445312E-01, 7.65506446E-01
1.06640625E-01, 7.73346245E-01
1.06835937E-01, 8.48137379E-01
1.07031250E-01, 8.37216973E-01
1.07226562E-01, 8.84943366E-01
1.07421875E-01, 9.31575775E-01
1.07617187E-01, 9.23055828E-01
1.07812500E-01, 9.96311069E-01
1.08007812E-01, 9.97994006E-01
1.08203125E-01, 1.02227950E+00
1.08398437E-01, 1.08767188E+00
1.08593750E-01, 1.07183480E+00
1.08789062E-01, 1.13334751E+00
1.08984375E-01, 1.15946281E+00
1.09179687E-01, 1.16101754E+00
1.09375000E-01, 1.23415434E+00
1.09570312E-01, 1.22670960E+00
1.09765625E-01, 1.26621926E+00
1.09960937E-01, 1.31586826E+00
1.10156250E-01, 1.30324316E+00
1.10351562E-01, 1.37046027E+00
1.10546875E-01, 1.38141108E+00
1.10742187E-01, 1.39576721E+00
1.10937500E-01, 1.45999670E+00
1.11132812E-01, 1.44776404E+00
1.11328125E-01, 1.49876118E+00
1.11523437E-01, 1.52841341E+00
1.11718750E-01, 1.52469969E+00
1.11914062E-01, 1.59114695E+00
1.12109375E-01, 1.58453894E+00
1.12304687E-01, 1.61406577E+00
1.12500000E-01, 1.66144955E+00
1.12695312E-01, 1.64692283E+00
